"Machine","Overview / Visão Geral","Main Switch / Chave Geral","Emergency Stop / Emergência","Touchscreen / IHM","Feed Belt / Esteira","ReDiS","Pneumatics / Ar Comprimido","Manual Control / Jog","Folding / Dobra","Wrapping / Envoltura","Shrink Tunnel / Túnel","Blank Magazine / Magazine","Barra de direção","Main valve","""Change station"" operating controls (rear side)","[Power Packer ON-OFF] (Separate module infeed)","""Feed conveyor"" operating control (operator side)","""Turning"" operating controls (operator side)","""Feed conveyor"" operating control (rear side)","""Gluing"" operating controls (operator side - duplicated in source)","""Rinsing"" operating controls (rear side)","Height adjustment (Gluing module)","Elementos de comando ""Formatar"" (lado traseiro)","Mandrel clamp switch","""Conveyor system"" operating controls","""Turning"" operating controls (rear side)","The ""Formatting"" operating controls (rear side)","Elementos de comando ""Aplicar filme"" (+113)","""Film conveyor system"" operating controls","Elementos de comando ""Envolvedor de filme""","""Distributor lubrication"" operating control","""Ejecting"" operating controls (rear side)","Actuation housing for safety door","""Gluing"" operating controls (operator side)","""Changing station"" operating controls (operator side)","""Ejecting"" operating controls (operator side)","Height adjustment (Alignment module)","""Adhesive tape station"" operating elements","Elementos de comando ""Sistema de transporte de filme""","""Feed conveyor"" operating control","""Machine outfeed"" operating controls","""Separate"" operating controls (rear side)","""Distributor adjustment"" operating controls","[Power Packer ON-OFF] operating control","""Buffering"" operating controls (rear side)","Elemento de comando [Potência da empacotadora Lig / Deslig]","[Power Packer ON-OFF] (Carrying handles module infeed)","Operating controls for ""Conveyor system""","""Container"" operating controls","""Gluing"" operating controls (rear side)","Elementos de comando ""Aplicar filme"" (+114)"
"CarryStripPacker","--","5.4.1","--","--","--","--","5.4.4","5.4.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","5.4.2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Folienrollenhubwagen","--","--","--","--","--","--","--","--","--","--","5.3.1","--","5.3.2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Innopack_Packer_EN","--","5.4.2","--","--","--","--","--","--","--","--","--","--","--","5.4.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","5.4.1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"NatureMultiPacker","5.4.1","5.4.28 | 5.4.29","--","--","--","--","5.4.2 | 5.4.12","5.4.18 | 5.4.25","--","--","--","--","--","--","5.4.6","5.4.13","5.4.11","5.4.24","5.4.10","5.4.16","5.4.8","5.4.17","--","--","--","5.4.4","--","--","--","--","5.4.23","5.4.5","--","5.4.14","5.4.19","5.4.20","5.4.15","5.4.27","--","--","--","5.4.9","5.4.22","--","5.4.3","--","5.4.26","5.4.30","5.4.21","5.4.7","--"
"RS2","5.4.1","5.4.13","--","5.4.3","5.4.2","5.4.14","5.4.4","5.4.7","--","--","5.4.12","--","--","--","--","--","--","--","--","--","--","--","5.4.6","--","--","--","--","5.4.9","--","5.4.11","--","--","--","--","--","--","--","--","5.4.8","--","--","--","--","--","--","5.4.5","--","--","--","--","5.4.10"
"ShrinkPacker","5.4.1","5.4.13","--","5.4.3","5.4.2","5.4.14","5.4.4","5.4.7","--","--","5.4.12","--","--","--","--","--","--","--","--","--","--","--","5.4.6","--","--","--","--","5.4.9","--","5.4.11","--","--","--","--","--","--","--","--","5.4.8","--","--","--","--","--","--","5.4.5","--","--","--","--","5.4.10"
"TrayPacker","5.4.1","5.4.13","--","--","5.4.2","--","5.4.3","5.4.6","5.4.7","5.4.9 | 5.4.10 | 5.4.11","5.4.12","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","5.4.5","--","5.4.8","--","--","--","--","--","--","--","--","--","--","--","--","--","--","5.4.4","--","--","--","--","--","--","--"
"TrayShrinkPacker","5.4.1","5.4.13","--","--","5.4.2","--","5.4.3","5.4.6","5.4.7","5.4.9 | 5.4.10 | 5.4.11","5.4.12","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","5.4.5","--","5.4.8","--","--","--","--","--","--","--","--","--","--","--","--","--","--","5.4.4","--","--","--","--","--","--","--"
"WraparoundPacker","5.4.1","5.4.10","--","5.4.2 | 5.4.3 | 5.4.13","--","5.4.12","5.4.4","5.4.7","5.4.8","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","5.4.11","--","5.4.6","--","--","--","--","--","--","--","--","--","--","--","--","--","5.4.9","--","--","5.4.5","--","--","--","--","--","--","--"
"WraparoundShrinkPacker","5.4.1","5.4.17","--","--","5.4.4 | 5.4.5","5.4.18","5.4.6","5.4.9","5.4.10","5.4.12 | 5.4.13 | 5.4.14","5.4.16","5.4.2 | 5.4.3","--","--","--","--","--","--","--","--","--","--","--","--","5.4.15","--","5.4.8","--","5.4.11","--","--","--","--","--","--","--","--","--","--","--","--","--","--","5.4.7","--","--","--","--","--","--","--"
"Zufuhrband","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","5.3.1","--","--","--","--","--","--","--","--","--","--","--"
