"Machine","Safety / Segurança","Prerequisites / Requisitos","Preparation / Preparação","Start / Iniciar","Monitor / Monitorar","Stop / Parar","Jog Mode / Toques","End / Encerrar","Switch Off / Desligar","Changing operating mode","Switch on conveyor system","Resuming production","Switching on the conveyor system","Requirements"
"CarryStripPacker","5.6.1","--","5.6.3","5.6.4","5.6.5","5.6.6","--","--","5.6.8","5.6.7","--","--","--","5.6.2"
"Folienrollenhubwagen","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Innopack_Packer_EN","5.6.1","5.6.2","5.6.3","5.6.4","5.6.5 | 5.6.7","5.6.6","--","5.6.9","--","--","--","5.6.8","--","--"
"NatureMultiPacker","5.6.1","5.6.2","--","--","--","5.6.7","--","5.6.9","5.6.10 | 5.6.11","--","--","--","5.6.4","--"
"RS2","5.6.1","5.6.2","5.6.3","5.6.4","5.6.5","5.6.6","5.6.7","5.6.8","5.6.9","--","--","--","--","--"
"ShrinkPacker","5.6.1","5.6.2","5.6.3","5.6.4","5.6.5","5.6.6","5.6.7","5.6.8","5.6.9","--","--","--","--","--"
"TrayPacker","5.6.1","--","5.6.3","5.6.4","5.6.5","5.6.6","5.6.7","5.6.8","5.6.9","--","--","--","--","5.6.2"
"TrayShrinkPacker","5.6.1","--","5.6.3","5.6.4","5.6.5","5.6.6","5.6.7","5.6.8","5.6.9","--","--","--","--","5.6.2"
"WraparoundPacker","5.6.1","5.6.2","5.6.3","5.6.5","5.6.6","5.6.7","5.6.8","5.6.9","5.6.10 | 5.6.11","--","5.6.4","--","--","--"
"WraparoundShrinkPacker","5.6.1","--","5.6.3","5.6.5","5.6.6","5.6.7","5.6.8","5.6.9","5.6.10 | 5.6.11","--","5.6.4","--","--","5.6.2"
"Zufuhrband","5.5.1","5.5.2","5.5.3","5.5.4","5.5.5","5.5.6","--","5.5.7","5.5.8","--","--","--","--","--"
