"Machine","Safety / Segurança","Tablet / IHM","Adjustment Elements","M01 Product Feed","M02 Formatting","M03 Folding","M04 Wrapping","M05 Turning","M07 Shrink","M09 Blank Feed","M5x Modules (Nature)","Format Parts","Outlet product width roller guide","Procedimentos básicos","General information","Setting up components","Inlet product width roller guide","Basic procedure Setting up the machine","Dimensions and settings","Prerequisites","Identification code","Basic procedure","Product height bow creation","Product width roller guide, lane 1","Parameters, key figures and colors","Resuming machine operation","Ligar a máquina novamente","Valores de ajuste, códigos e cores","Product width application head","Setup for a formation Overview","Settings, indices and colours","Código de identificação","Utilização do modo de operação por toques durante o setup","Adjustment points","Product width lateral guide","Using jog mode during setup","Recommissioning the machine"
"CarryStripPacker","5.7.1","--","--","--","--","--","--","--","--","--","--","--","5.7.10","--","5.7.2","--","5.7.5","5.7.3","--","--","--","--","5.7.8","5.7.9","--","--","--","--","5.7.7","--","--","--","--","5.7.4","5.7.6","--","--"
"Folienrollenhubwagen","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Innopack_Packer_EN","5.8.1","--","--","--","--","--","--","--","--","--","--","5.8.5","--","--","--","5.8.6","--","--","5.8.3","5.8.2","--","--","--","--","--","--","--","--","--","5.8.4","--","--","--","--","--","--","--"
"NatureMultiPacker","5.8.1","--","5.8.5","5.8.6","--","--","--","5.8.12","--","--","5.8.7 | 5.8.8 | 5.8.9 | 5.8.10 | 5.8.11 | 5.8.13 | 5.8.14","--","--","--","--","--","--","--","--","--","5.8.2","5.8.4","--","--","--","5.8.15","--","--","--","--","5.8.3","--","--","--","--","--","--"
"RS2","5.7.1","5.7.4","5.7.7","5.7.8","5.7.9","--","5.7.10","--","5.7.11","--","--","--","--","5.7.5","--","--","--","--","--","--","--","--","--","--","--","--","5.7.12","5.7.3","--","--","--","5.7.2","5.7.6","--","--","--","--"
"ShrinkPacker","5.7.1","5.7.4","5.7.7","5.7.8","5.7.9","--","5.7.10","--","5.7.11","--","--","--","--","5.7.5","--","--","--","--","--","--","--","--","--","--","--","--","5.7.12","5.7.3","--","--","--","5.7.2","5.7.6","--","--","--","--"
"TrayPacker","5.7.1","--","5.7.6","5.7.7","5.7.8","5.7.10","5.7.11","--","5.7.12","5.7.9","--","--","--","--","--","--","--","--","--","--","5.7.2","5.7.4","--","--","5.7.3","--","--","--","--","--","--","--","--","--","--","5.7.5","5.7.13"
"TrayShrinkPacker","5.7.1","--","5.7.6","5.7.7","5.7.8","5.7.10","5.7.11","--","5.7.12","5.7.9","--","--","--","--","--","--","--","--","--","--","5.7.2","5.7.4","--","--","5.7.3","--","--","--","--","--","--","--","--","--","--","5.7.5","5.7.13"
"WraparoundPacker","5.7.1","5.7.4","5.7.7","--","5.7.8","5.7.10","--","--","--","5.7.9","--","--","--","--","--","--","--","--","--","--","5.7.2","5.7.5","--","--","5.7.3","--","--","--","--","--","--","--","--","--","--","5.7.6","5.7.11"
"WraparoundShrinkPacker","5.7.1","--","5.7.6","5.7.7","5.7.8","5.7.10","5.7.12","5.7.11","5.7.13","5.7.9","--","--","--","--","--","--","--","--","--","--","5.7.2","5.7.4","--","--","5.7.3","--","--","--","--","--","--","--","--","--","--","5.7.5","5.7.14"
"Zufuhrband","5.6.1","--","5.6.5","5.6.6","--","--","--","--","--","--","--","--","--","--","--","--","--","5.6.4","--","--","5.6.2","--","--","--","5.6.3","--","--","--","--","--","--","--","--","--","--","--","5.6.7"
