"Machine","Instructions / Instruções","Execution / Execução","Specifications","Prerequisites Preparing the machine","Preparation"
"CarryStripPacker","--","--","--","--","--"
"Folienrollenhubwagen","--","--","--","--","--"
"Innopack_Packer_EN","5.7.1","5.7.4","5.7.2","--","5.7.3"
"NatureMultiPacker","5.7.1","5.7.3","--","5.7.2","--"
"RS2","--","--","--","--","--"
"ShrinkPacker","--","--","--","--","--"
"TrayPacker","--","--","--","--","--"
"TrayShrinkPacker","--","--","--","--","--"
"WraparoundPacker","--","--","--","--","--"
"WraparoundShrinkPacker","--","--","--","--","--"
"Zufuhrband","--","--","--","--","--"
